PCS_ID,PCS_Name,Category,Physical_Effect,Type,Size_LxWxH_cm,Brand,Model_Name,Model_Number,Product_Reference,Availability,Image,Publication,Price_USD,Year,Plug_Power
15,FootWarmer_Mat,Heating,"Radiant, Conductive",Foot warmer,"45, 40, 6",Hodeamy,,XJD-JR01,https://a.co/d/cVuk2Xj,Market-ready,ID18_foot_warmer_front.png,,33,2025,55
16,DeskHeater_Mat,Heating,"Radiant, Conductive",Heating desk mat,"80, 33, 0.5",Konohan,,KQ1511,https://a.co/d/dqTjBHN,Market-ready,ID19_desk_mat_front.png,,17,2025,
17,DeskHeater_22H,Heating,"Radiant, Convective",Fan heater,"20, 13, 12",NEXTNETIC,,HC113,https://amzn.asia/d/56rptSK,Market-ready,ID20_desk_fan_heater_angled.png,,30,2025,1200
18,UnderDesk_PersonalVentilation,Cooling,Convective,Cooled air by Phase Change Material,"70, 20, 50",,,,,Prototype,StandHeater.jpeg,10.1016/j.buildenv.2018.10.018,,,30
19,FootWarmer_boxPad,Heating,Conductive,Foot warmer,"45, 15, 50",,,,,Prototype,StandHeater.jpeg,10.1016/j.buildenv.2018.10.019,,,45
20,HeatingDesk_BigUpperLower,Heating,"Conductive, Radiant",Heating desk with upper and lower radiant surfaces,"60, 26",,,,,Prototype,HeatDesk_D.jpg,,,2023,61
21,HeatingDesk_MediumUpperLower,Heating,"Conductive, Radiant",Heating desk with upper and lower radiant surfaces,"33, 25",,,,,Prototype,HeatDesk_A.jpg,https://www.researchgate.net/publication/387786637_A_novel_conductive-radiative_Personalised_Environmental_Control_System_PECS_optimization_and_performance_enhancement,,2023,53
22,HeatingDesk_SmallUpper_BigLower,Heating,"Conductive, Radiant",Heating desk with upper and lower radiant surfaces,"(60, 26), (45, 10)",,,,,Prototype,HeatDesk_B.jpg,https://www.researchgate.net/publication/387786637_A_novel_conductive-radiative_Personalised_Environmental_Control_System_PECS_optimization_and_performance_enhancement,,2023,52
23,HeatingDesk_BigUpper_SmallLower,Heating,"Conductive, Radiant",Heating desk with upper and lower radiant surfaces,"(45, 10), (60, 26)",,,,,Prototype,HeatDesk_C.jpg,https://www.researchgate.net/publication/387786637_A_novel_conductive-radiative_Personalised_Environmental_Control_System_PECS_optimization_and_performance_enhancement,,2023,56
24,CeilingFan,Cooling,Convection,Ceiling fan,"120, 120, 50",Vortice,,,,Prototype,CeilingFan.jpeg,https://doi.org/10.1016/j.enbuild.2025.115317,,,30
25,StandHeater_Oil,Heating,Radiant,Oil-Filled Radiator,"49, 25, 62",Malmbergs,,,,Market-ready,ID25_StandHeater.jpg,10.1016/j.enbuild.2024.115110,,2024,400
26,StandHeatPanel_Curved,Heating,Radiant,Curved electrical heating panel,"83, 57, 70",Mitsubishi,nan,,,Prototype,ID26_StandHeatPanel_Curved.jpg,10.1016/j.buildenv.2024.111260,,2022,128
27,Desk_EvaporativeCooler_Arctic,Cooling,Convective,Evaporative cooler,"14.5, 17, 14",Arctic air,,,https://www.amazon.com.au/ARCTIC-Chill-Portable-Air-Conditioner/dp/B0CC2X4H5Z,Market-ready,ID27_Desk_EvaporativeCooler_arctic.jpeg,https://www.researchgate.net/publication/387786888_Boosting_personal_cooling_with_water_comparing_a_desk_fan_and_evaporative_coolers,40,2022,10
28,Desk_EvaporativeCooler_evalight,Cooling,Convective,Evaporative cooler,"18, 18.2, 18",Evapolar,evaLIGHTplus,EV-1500,https://www.evapolar.com/products/evalight?variant=46340507992312,Market-ready,ID28_Desk_EvaporativeCooler_evalight.jpeg,,150,2022,10
